order_id,order_date,region,channel,customer_type,category,product,units_sold,unit_price,unit_cost,discount_pct,returned,net_sales,profit
10319,2026-01-04,Irbid,Retail,New,Electronics,Wireless Earbuds,3,54.44,28.78,10.0,No,146.99,60.65
10273,2026-04-18,Zarqa,Online,New,Home,Air Fryer,6,114.91,73.66,25.0,No,517.1,75.14
10256,2026-01-23,Irbid,Online,Returning,Accessories,USB-C Cable,6,12.03,2.96,25.0,No,54.13,36.37
10526,2026-01-20,Amman,Online,Returning,Home,Coffee Maker,2,86.31,47.24,5.0,No,163.99,69.51
10446,2026-02-09,Zarqa,Retail,Returning,Electronics,Wireless Earbuds,1,55.4,28.75,20.0,No,44.32,15.57
10486,2026-02-08,Irbid,Online,New,Electronics,Smart Watch,4,98.11,51.61,0.0,No,392.44,186.0
10188,2026-05-25,Amman,Online,Returning,Home,Air Fryer,3,114.76,70.76,15.0,No,292.64,80.36
10500,2026-05-04,Irbid,Online,New,Accessories,Phone Case,5,17.93,6.3,20.0,No,71.72,40.22
10062,2026-06-16,Zarqa,Wholesale,Returning,Accessories,USB-C Cable,6,11.97,2.96,10.0,No,64.64,46.88
10170,2026-03-28,Zarqa,Wholesale,Returning,Electronics,Power Bank,6,36.3,18.17,15.0,No,185.13,76.11
10559,2026-06-20,Aqaba,Online,New,Home,Coffee Maker,1,85.27,48.35,15.0,No,72.48,24.13
10312,2026-05-22,Amman,Retail,Returning,Electronics,Wireless Earbuds,1,56.42,29.39,20.0,No,45.14,15.75
10243,2026-01-23,Irbid,Online,Returning,Accessories,Backpack,3,46.08,21.72,25.0,No,103.68,38.52
10538,2026-03-16,Irbid,Retail,New,Home,Blender,1,59.08,33.93,15.0,No,50.22,16.29
10399,2026-04-20,Aqaba,Wholesale,Returning,Accessories,Backpack,11,44.19,22.52,10.0,No,437.48,189.76
10072,2026-04-08,Aqaba,Wholesale,New,Accessories,Phone Case,4,17.6,6.2,0.0,No,70.4,45.6
10551,2026-01-22,Amman,Retail,New,Home,Coffee Maker,3,83.2,47.37,20.0,No,199.68,57.57
